Brand,Year of Manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price
TOYOTA,2007,Nigerian Used,166418,2400,Petrol,Automatic,"?3,120,000.00"
MERCEDES-BENZ,2008,Nigerian Used,376807,3000,Petrol,Automatic,"?3,640,000.00"
LEXUS,2008,Foreign Used,301265,3500,Petrol,Automatic,"?4,680,000.00"
LEXUS,2011,Nigerian Used,105546,4600,Petrol,Automatic,"?14,040,000.00"
LEXUS,2011,Foreign Used,211917,3500,Petrol,Automatic,"?6,968,000.00"
TOYOTA,2014,Nigerian Used,216924,2500,Petrol,Automatic,"?9,360,000.00"
TOYOTA,2014,Nigerian Used,216924,2500,Petrol,Automatic,"?9,360,000.00"
LEXUS,2016,Nigerian Used,107355,5700,Petrol,Automatic,"?42,000,000.00"
TOYOTA,2009,Nigerian Used,134232,2400,Petrol,Manual,"?4,725,000.00"
MERCEDES-BENZ,2007,Foreign Used,209466,4700,Petrol,Automatic,"?4,515,000.00"
MERCEDES-BENZ,2017,Nigerian Used,31079,3000,Petrol,Automatic,"?41,600,000.00"
LEXUS,2010,Foreign Used,135819,3500,Petrol,Automatic,"?8,610,000.00"
MERCEDES-BENZ,2015,Nigerian Used,120785,4500,Petrol,Automatic,"?18,720,000.00"
LEXUS,2006,Nigerian Used,156704,3300,Petrol,Automatic,"?3,640,000.00"
TOYOTA,2013,Foreign Used,143701,1800,Petrol,Automatic,"?10,400,000.00"
LEXUS,2008,Nigerian Used,162262,4700,Petrol,Automatic,"?4,725,000.00"
LAND ROVER,2011,Nigerian Used,132352,5000,Petrol,Automatic,"?5,250,000.00"
TOYOTA,2010,Foreign Used,170599,3500,Petrol,Automatic,"?6,825,000.00"
LEXUS,2007,Foreign Used,203492,3500,Petrol,Automatic,"?4,410,000.00"
LEXUS,2014,Foreign Used,72352,3500,Petrol,Automatic,"?9,240,000.00"
LEXUS,2015,Foreign Used,228013,3500,Petrol,Automatic,"?15,600,000.00"
MERCEDES-BENZ,2014,Nigerian Used,173644,1800,Petrol,Automatic,"?6,090,000.00"
TOYOTA,2015,Foreign Used,79277,4000,Petrol,Automatic,"?17,680,000.00"
LEXUS,2015,Nigerian Used,88745,3500,Petrol,Automatic,"?9,450,000.00"
FIAT,2000,Foreign Used,286241,24000,Diesel,Manual,"?3,675,000.00"
TOYOTA,2010,Foreign Used,158017,3500,Petrol,Automatic,"?6,825,000.00"
TOYOTA,2012,Foreign Used,122807,3500,Petrol,Automatic,"?8,820,000.00"
