Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
toyota,2007,nigerian used,166418,2400,petrol,automatic,3120000.0,
lexus,2008,nigerian used,138024,2500,petrol,automatic,5834000.0,
mercedes-benz,2008,nigerian used,376807,3000,petrol,automatic,3640000.0,
lexus,2008,nigerian used,213362,2500,petrol,automatic,3594000.0,
mercedes-benz,2008,nigerian used,106199,2500,petrol,automatic,8410000.0,
mercedes-benz,2008,nigerian used,87660,2500,petrol,automatic,5554000.0,
lexus,2008,nigerian used,191411,2500,petrol,automatic,3706000.0,
lexus,2008,nigerian used,59092,2500,petrol,automatic,8410000.0,
mercedes-benz,2008,nigerian used,89423,2500,petrol,automatic,6506000.0,
lexus,2008,nigerian used,184827,2500,petrol,automatic,4000000.0,
lexus,2008,nigerian used,42433,2500,petrol,automatic,8970000.0,
lexus,2008,nigerian used,116138,2500,petrol,automatic,3034000.0,
lexus,2008,nigerian used,167583,2500,petrol,automatic,3818000.0,
lexus,2008,nigerian used,240934,2500,petrol,automatic,3930000.0,
fiat,2008,nigerian used,114,2500,petrol,automatic,8500000.0,
fiat,2008,nigerian used,54,2500,petrol,manual,12500000.0,
lexus,2008,nigerian used,79740,2500,petrol,automatic,5274000.0,
mercedes-benz,2008,nigerian used,338145,2500,petrol,automatic,8060000.0,
lexus,2008,nigerian used,174545,2500,petrol,automatic,6506000.0,
land rover,2008,nigerian used,63296,2500,petrol,automatic,6910000.0,
mercedes-benz,2008,nigerian used,93469,2500,petrol,automatic,6910000.0,
mercedes-benz,2008,nigerian used,63085,2500,petrol,automatic,15690000.0,
mercedes-benz,2008,nigerian used,131405,2500,petrol,automatic,5610000.0,
toyota,2008,nigerian used,162853,2500,petrol,manual,3395000.0,
lexus,2008,nigerian used,169675,2500,petrol,automatic,3146000.0,
lexus,2008,nigerian used,147574,2500,petrol,automatic,3620000.0,
lexus,2008,nigerian used,70445,2500,petrol,automatic,5500000.0,
foton,2008,nigerian used,54470,2500,petrol,manual,4938000.0,
lexus,2008,nigerian used,130165,2500,petrol,automatic,3818000.0,
lexus,2008,nigerian used,75478,2500,petrol,automatic,3497500.0,
lexus,2008,foreign used,301265,3500,petrol,automatic,4680000.0,
mercedes-benz,2008,nigerian used,145317,2500,petrol,automatic,10650000.0,
lexus,2011,nigerian used,105546,4600,petrol,automatic,14040000.0,SUV
lexus,2008,nigerian used,60730,2500,petrol,automatic,3706000.0,
lexus,2008,nigerian used,98594,2500,petrol,automatic,10650000.0,
mercedes-benz,2008,nigerian used,188429,2500,petrol,automatic,6170000.0,
mercedes-benz,2008,nigerian used,128877,2500,petrol,automatic,16332500.0,
jac,2008,nigerian used,9972,2500,petrol,automatic,6730000.0,
lexus,2008,nigerian used,98226,2500,petrol,automatic,4378000.0,
lexus,2008,nigerian used,211824,2500,petrol,automatic,3610000.0,
jac,2008,nigerian used,35403,2500,petrol,automatic,7850000.0,
lexus,2008,nigerian used,72429,2500,petrol,automatic,3818000.0,
land rover,2008,nigerian used,82891,2500,petrol,automatic,5386000.0,
lexus,2011,foreign used,211917,3500,petrol,automatic,6968000.0,
toyota,2014,nigerian used,216924,2500,petrol,automatic,9360000.0,SUV
lexus,2008,nigerian used,97215,2500,petrol,automatic,8500000.0,
lexus,2008,nigerian used,32096,2500,petrol,automatic,13450000.0,
lexus,2008,nigerian used,161352,2500,petrol,automatic,11000000.0,
lexus,2008,nigerian used,211824,2500,petrol,automatic,3610000.0,
lexus,2008,nigerian used,72429,2500,petrol,automatic,3818000.0,
toyota,2014,nigerian used,216924,2500,petrol,automatic,9360000.0,SUV
lexus,2008,nigerian used,81936,2500,petrol,automatic,3370000.0,
mercedes-benz,2008,nigerian used,146891,2500,petrol,automatic,4210000.0,
lexus,2008,nigerian used,161352,2500,petrol,automatic,9000000.0,
lexus,2016,nigerian used,107355,5700,petrol,automatic,42000000.0,SUV
toyota,2009,nigerian used,134232,2400,petrol,manual,4725000.0,
mercedes-benz,2008,nigerian used,147895,2500,petrol,automatic,4490000.0,
mercedes-benz,2007,foreign used,209466,4700,petrol,automatic,4515000.0,SUV
mercedes-benz,2008,nigerian used,156155,2500,petrol,automatic,6730000.0,
mercedes-benz,2017,nigerian used,31079,3000,petrol,automatic,41600000.0,
mercedes-benz,2008,nigerian used,34590,2500,petrol,automatic,5834000.0,
mercedes-benz,2008,nigerian used,81907,2500,petrol,automatic,3146000.0,
lexus,2010,foreign used,135819,3500,petrol,automatic,8610000.0,SUV
mercedes-benz,2008,nigerian used,95702,2500,petrol,manual,3706000.0,
mercedes-benz,2015,nigerian used,120785,4500,petrol,automatic,18720000.0,SUV
lexus,2006,nigerian used,156704,3300,petrol,automatic,3640000.0,SUV
toyota,2013,foreign used,143701,1800,petrol,automatic,10400000.0,
